,SectionId,SectionName,AvgSpd,AvgOcc,TotalVol,MOELevel,StartWgsX,StartWgsY,EndWgsX,EndWgsY,Time,time
0,Z0111C0,市高往東  環河中華,32.589043,42.6,144.5,2,121.50695500216676,25.04994799574932,121.50705798692283,25.050408979818556,2020/06/05T17:08:06,17:08:06
1,Z0120C0,市高往東  中華承德,66.84536,6.6,196.0,0,121.50705798692283,25.050408979818556,121.51466999479653,25.048847032913205,2020/06/05T17:08:06,17:08:06
2,Z0130A0,市高往東  承德中山,66.5687,13.4,262.5,0,121.51466999479653,25.048847032913205,121.53046697738932,25.045874039619246,2020/06/05T17:08:06,17:08:06
3,Z0130A1,市高往東  中山林森,68.83154,14.4,277.0,0,121.51466999479653,25.048847032913205,121.53046697738932,25.045874039619246,2020/06/05T17:08:06,17:08:06
4,Z0140C0,市高往東  新生建國,65.18565,19.2,232.0,0,121.53046697738932,25.045874039619246,121.53615703699234,25.044318028422193,2020/06/05T17:08:06,17:08:06
5,Z0140C1,市高往東  建國復興,67.79638,17.9,219.0,0,121.53046697738932,25.045874039619246,121.53615703699234,25.044318028422193,2020/06/05T17:08:06,17:08:06
6,Z0150C0,市高往東  復興敦化,60.646343,18.733334,331.5,0,121.53615703699234,25.044318028422193,121.5576310475605,25.044760982709526,2020/06/05T17:08:06,17:08:06
7,Z0150C1,市高往東  敦化上方,50.963505,27.366665,340.25,0,121.53615703699234,25.044318028422193,121.5576310475605,25.044760982709526,2020/06/05T17:08:06,17:08:06
8,Z0150C2,市高往東  敦化延吉,41.153393,35.933334,331.5,1,121.53615703699234,25.044318028422193,121.5576310475605,25.044760982709526,2020/06/05T17:08:06,17:08:06
9,Z0160C0,市高往東  延吉永吉,38.55144,42.3,239.0,1,121.5576310475605,25.044760982709526,121.56922995528285,25.045546039344874,2020/06/05T17:08:06,17:08:06
10,Z0380F0,正氣橋  麥一市民,55.43046,22.4,148.5,0,121.56977204249891,25.04618901466344,121.56977100926193,25.045943997665272,2020/06/05T17:08:06,17:08:06
11,Z0390G0,市高往西  永吉光復,15.164286,61.1,140.0,2,121.56977100926193,25.045943997665272,121.56751202127087,25.045890982790404,2020/06/05T17:08:06,17:08:06
12,Z03A0G1,市高往西  光復延吉,17.945122,64.5,163.0,2,121.56751202127087,25.045890982790404,121.55766704817091,25.045468014863655,2020/06/05T17:08:06,17:08:06
13,Z03B0G0,市高往西  延吉復興,23.101961,46.333332,252.0,2,121.55766704817091,25.045468014863655,121.53612602033242,25.04502503847536,2020/06/05T17:08:06,17:08:06
